Hour,TI(AM/PM),Weekday,Day,Month,Electricity(kwh)
4,PM,,24,Dec,0.405
3,AM,sat,15,Mar,0.202
11,AM,,10,Mar,0.412
4,AM,sat,8,Nov,0.132
4,AM,,17,Nov,0.091
2,AM,tue,7,Oct,0.107
1,PM,fri,20,Jun,0.72
8,AM,,14,Apr,0.103
10,PM,,11,Jul,1.361
4,PM,,21,Feb,0.538
7,AM,wed,3,Sep,0.51
12,PM,,21,Jun,0.864
6,PM,,18,Jun,2.696
10,AM,,11,Dec,0.475
9,PM,,20,Dec,0.387
1,AM,sat,8,Nov,0.155
8,AM,,9,Mar,0.874
4,AM,wed,3,Dec,0.222
11,AM,,17,Nov,0.209
12,PM,,4,Nov,0.239
12,PM,,3,Oct,0.336
8,PM,sat,4,Oct,1.048
12,AM,,4,Mar,0.24
1,AM,sat,18,Oct,0.198
12,AM,sun,29,Jun,1.642
8,AM,tue,1,Apr,0.12
1,PM,thu,29,May,0.346
9,AM,sat,13,Dec,1.01
1,AM,tue,2,Dec,0.209
7,PM,,31,Jan,3.708
12,AM,,5,Apr,0.259
5,PM,tue,9,Dec,1.301
9,PM,tue,13,May,0.451
6,AM,fri,11,Jul,2.851
11,PM,sat,10,May,0.808
3,PM,,27,Aug,0.408
1,PM,thu,20,Mar,0.317
6,AM,sun,7,Dec,0.836
6,AM,,15,May,1.008
10,PM,mon,17,Mar,0.452
7,AM,,3,Dec,0.881
7,AM,,3,Jul,1.728
8,AM,mon,19,May,0.349
11,AM,,14,Jul,1.128
1,AM,sun,14,Dec,0.281
2,PM,,25,Aug,0.504
11,AM,,29,May,0.368
10,AM,,4,Dec,0.409
4,AM,,20,Dec,0.33
7,PM,fri,4,Jul,4.234
1,AM,,18,Jan,0.708
6,AM,,9,Mar,0.717
3,AM,sat,15,Nov,0.162
6,PM,,27,Apr,0.589
11,AM,wed,27,Aug,0.582
6,AM,,12,Feb,1.368
10,AM,,6,Sep,0.361
7,AM,mon,24,Mar,0.857
7,AM,,4,Feb,1.069
1,PM,wed,5,Nov,0.158
1,PM,tue,16,Dec,0.414
11,PM,,6,Dec,1.056
5,PM,sat,9,Aug,0.864
3,PM,,19,May,0.269
9,AM,wed,8,Oct,0.151
6,AM,,29,Dec,1.32
8,AM,,4,May,0.936
3,AM,sat,16,Aug,0.342
11,PM,sat,1,Nov,0.509
8,PM,,4,Sep,1.344
8,AM,,15,Jan,0.912
5,PM,,15,Jan,2.47
10,AM,,7,Oct,0.238
1,PM,,5,Oct,0.432
4,AM,thu,18,Sep,0.133
12,PM,,7,Mar,0.384
11,AM,,6,Dec,0.772
5,PM,mon,20,Jan,2.548
6,AM,sun,28,Dec,1.056
11,AM,,12,Mar,0.456
6,AM,wed,16,Jul,3.139
5,PM,sat,5,Apr,0.251
6,AM,mon,10,Mar,0.998
2,PM,fri,11,Jul,0.883
7,PM,,26,Jul,5.141
8,AM,,7,Apr,0.131
9,AM,,11,Dec,0.327
5,AM,sat,27,Dec,0.287
8,AM,mon,22,Dec,0.475
8,PM,,22,May,1.037
10,AM,wed,10,Sep,0.297
9,PM,,17,Mar,0.523
7,PM,fri,26,Dec,2.02
2,AM,fri,11,Apr,0.061
11,PM,,1,Sep,0.319
12,PM,,13,Jul,1.44
2,AM,,7,Dec,0.34
2,AM,sat,5,Apr,0.106
4,AM,,26,May,0.168
10,AM,,8,Jan,0.648
6,PM,mon,31,Mar,1.344
2,AM,,20,Jul,0.742
12,PM,,16,May,0.44
4,AM,,17,May,0.233
2,PM,,1,Feb,1.008
8,AM,,21,Mar,0.31
11,AM,,16,Jan,1.04
3,PM,mon,22,Sep,0.28
11,PM,,14,Nov,0.423
8,AM,,10,Mar,0.368
9,AM,,9,Apr,0.077
8,AM,,5,Feb,0.542
1,PM,,31,Mar,0.314
12,PM,sat,15,Feb,0.576
8,PM,sat,29,Nov,0.68
7,AM,wed,16,Jul,2.009
8,PM,tue,29,Jul,3.955
12,AM,mon,16,Jun,0.556
8,AM,fri,23,May,0.374
4,PM,thu,26,Jun,0.576
9,PM,,3,Apr,0.144
3,PM,,6,Apr,0.267
7,AM,,10,Aug,1.642
10,AM,thu,13,Mar,0.266
4,AM,,16,Aug,0.428
8,AM,,15,May,0.378
4,AM,fri,21,Nov,0.104
5,PM,fri,18,Jul,3.307
10,AM,thu,7,Aug,0.504
2,AM,wed,27,Aug,0.216
1,AM,,19,May,0.179
9,AM,sat,16,Aug,1.004
11,AM,,30,Mar,0.523
8,AM,,10,May,0.884
6,PM,fri,17,Jan,3.052
1,PM,sun,15,Jun,1.199
2,PM,,2,Jan,0.88
2,AM,,22,Apr,0.071
2,AM,sat,6,Dec,0.317
2,PM,,13,Sep,0.498
2,PM,tue,12,Aug,0.437
5,AM,,4,Sep,0.662
2,AM,,16,Dec,0.194
4,AM,,8,Mar,0.233
12,AM,thu,2,Oct,0.191
5,PM,sun,5,Jan,2.052
5,PM,mon,28,Apr,0.464
7,AM,,30,Dec,0.851
1,AM,,12,Jun,0.356
3,AM,thu,16,Jan,0.36
4,PM,sat,10,May,0.691
11,AM,fri,28,Mar,0.388
5,PM,wed,30,Jul,3.401
5,AM,fri,9,May,0.977
2,AM,sun,7,Sep,0.179
8,PM,wed,16,Apr,0.446
10,AM,,8,Feb,0.706
6,PM,,3,Aug,2.138
3,AM,wed,30,Apr,0.062
3,PM,,21,Aug,0.403
5,AM,,1,Jan,2.354
12,PM,,31,Oct,0.354
1,AM,fri,12,Sep,0.141
4,AM,sat,9,Aug,0.389
5,PM,,24,Jan,2.288
11,AM,tue,18,Nov,0.25
9,PM,sun,7,Sep,0.441
10,PM,wed,29,Jan,0.97
12,PM,mon,27,Jan,1.02
7,PM,,24,Mar,1.498
9,AM,,23,Jul,0.727
1,AM,,5,Jan,0.54
7,AM,thu,4,Dec,1.099
8,PM,,21,Nov,0.59
6,PM,sun,7,Sep,1.386
5,PM,,4,Nov,0.527
3,AM,,28,Dec,0.373
10,PM,,22,Nov,0.198
9,AM,,13,Oct,0.144
6,AM,tue,4,Nov,0.491
11,AM,fri,7,Mar,0.376
11,PM,fri,21,Nov,0.477
8,AM,,12,Jun,0.742
5,PM,,11,Jan,1.854
2,AM,,26,Jan,0.672
6,PM,sun,30,Mar,1.397
1,AM,,11,Jun,0.317
8,PM,,7,Mar,1.485
4,AM,mon,31,Mar,0.138
1,AM,sat,10,May,0.233
11,AM,,17,May,0.571
6,PM,,14,Jul,3.192
5,AM,,6,Jun,1.881
12,PM,tue,1,Apr,0.159
11,AM,wed,6,Aug,0.594
10,PM,tue,10,Jun,0.981
12,AM,,29,Mar,0.646
4,PM,,4,Oct,0.486
8,AM,fri,11,Apr,0.132
1,PM,sat,27,Sep,0.42
2,AM,mon,29,Sep,0.168
8,PM,,15,Jan,3.136
4,AM,,26,Apr,0.087
1,AM,sun,6,Jul,0.77
2,AM,,22,Aug,0.238
10,PM,wed,31,Dec,0.633
10,AM,sun,20,Apr,0.185
9,AM,sat,26,Jul,2.354
9,AM,sun,16,Feb,0.972
8,PM,,17,Feb,2.15
8,PM,tue,8,Jul,3.725
5,PM,tue,25,Nov,0.515
9,AM,,23,Sep,0.216
4,PM,,28,Jun,1.636
5,AM,sun,9,Mar,0.218
8,AM,sun,16,Feb,1.685
11,PM,,29,Apr,0.164
6,AM,,6,Apr,0.223
2,AM,,21,Sep,0.25
6,PM,,8,Feb,2.074
5,PM,,20,Dec,1.099
9,PM,tue,4,Nov,0.286
6,AM,mon,26,May,0.826
9,AM,,2,Dec,0.274
2,AM,,26,Nov,0.087
2,AM,sun,6,Jul,0.749
5,PM,mon,29,Sep,0.774
2,PM,thu,14,Aug,0.542
8,AM,thu,1,May,0.272
1,AM,,2,Jan,0.472
3,AM,,7,Dec,0.33
5,AM,tue,29,Apr,0.353
9,AM,,19,Apr,0.243
7,AM,,10,Apr,0.251
12,PM,,11,Sep,0.326
5,PM,thu,27,Feb,1.326
1,PM,,3,Dec,0.387
1,AM,,10,Dec,0.178
5,PM,mon,7,Jul,3.432
10,PM,,11,Jan,0.944
1,PM,,16,Feb,0.857
4,AM,tue,30,Dec,0.264
8,PM,mon,20,Oct,0.941
1,AM,fri,2,May,0.131
6,AM,,20,Jul,2.246
10,PM,sun,5,Oct,0.354
7,AM,,17,Dec,1.01
2,AM,tue,19,Aug,0.25
4,AM,thu,20,Feb,0.257
10,AM,sun,17,Aug,0.583
12,AM,,9,Oct,0.2
11,AM,sat,19,Jul,1.541
1,PM,,21,Oct,0.199
11,AM,mon,21,Apr,0.167
8,PM,,1,Jul,3.725
7,AM,sun,30,Nov,0.578
10,AM,,28,Jan,0.96
11,PM,,23,Jan,0.87
4,AM,wed,19,Nov,0.104
1,PM,thu,18,Sep,0.288
3,AM,thu,27,Nov,0.089
1,AM,,11,Feb,0.271
2,PM,,4,Dec,0.409
10,PM,sun,6,Apr,0.176
6,AM,sat,26,Jul,1.786
7,AM,,11,Nov,0.437
9,PM,thu,30,Oct,0.428
11,AM,sat,5,Apr,0.198
12,PM,,26,Jan,1.404
7,PM,,2,Jan,4.14
12,AM,,31,Oct,0.169
11,PM,tue,11,Mar,0.412
6,AM,,25,Aug,1.555
1,AM,,10,Mar,0.131
8,AM,,22,Apr,0.13
4,AM,,5,Dec,0.233
12,PM,,18,Dec,0.495
10,PM,mon,15,Sep,0.301
8,PM,,19,Jan,3.384
3,AM,sat,8,Nov,0.136
2,PM,,22,Feb,0.931
9,PM,,8,Dec,0.541
9,PM,,30,Nov,0.281
11,PM,fri,7,Nov,0.374
4,PM,wed,10,Dec,0.524
11,PM,sun,28,Sep,0.361
6,PM,,20,May,1.288
3,AM,,4,Apr,0.058
9,PM,fri,23,May,0.317
10,PM,mon,18,Aug,0.516
12,AM,sat,24,May,0.672
8,AM,sun,3,Aug,1.607
5,AM,,13,Oct,0.686
7,PM,,12,Sep,1.197
12,AM,mon,15,Dec,0.294
4,PM,,25,Apr,0.121
6,AM,thu,24,Jul,2.448
10,AM,,9,Aug,0.677
9,AM,tue,22,Apr,0.077
6,AM,sun,16,Feb,0.912
9,PM,,23,Feb,0.799
10,AM,,17,Jan,0.688
5,AM,,14,Feb,1.505
5,AM,mon,29,Dec,1.222
11,AM,sat,29,Nov,0.227
8,AM,,6,Jan,0.808
10,PM,sun,23,Feb,0.666
4,PM,thu,25,Sep,0.333
2,PM,thu,19,Jun,0.792
1,AM,,18,Dec,0.196
5,AM,,16,Oct,0.719
6,PM,wed,13,Aug,1.562
10,PM,,20,Mar,0.424
6,AM,,31,Jan,2.448
10,PM,,5,Jul,1.075
5,AM,,12,Feb,1.346
3,PM,sat,11,Jan,1.926
11,AM,,29,Oct,0.357
3,AM,,5,Jul,0.612
4,AM,thu,27,Nov,0.088
5,AM,,9,Jun,1.822
4,PM,,30,Jan,0.728
9,PM,mon,28,Jul,1.555
7,PM,thu,27,Mar,1.714
10,AM,mon,17,Nov,0.189
2,AM,wed,29,Oct,0.114
7,PM,wed,30,Jul,5.054
4,PM,,9,Sep,0.311
4,AM,sun,4,May,0.278
5,PM,,26,Mar,0.853
2,AM,mon,13,Jan,0.408
3,AM,,6,Feb,0.216
12,AM,tue,18,Feb,0.32
7,PM,,7,Aug,2.268
5,AM,,30,Sep,0.693
6,AM,sat,25,Jan,1.44
3,PM,sat,4,Jan,1.89
10,PM,,24,Mar,0.464
12,AM,,25,Apr,0.077
7,AM,fri,7,Mar,0.648
7,AM,wed,29,Jan,2.034
4,PM,mon,3,Mar,0.259
4,PM,,12,Dec,0.396
7,PM,,19,Jan,2.88
3,PM,,29,Apr,0.138
11,PM,,14,May,0.376
10,PM,,30,Dec,0.633
2,PM,mon,3,Nov,0.198
8,PM,wed,25,Jun,2.362
11,PM,thu,2,Oct,0.249
10,AM,sat,22,Nov,0.227
5,PM,,17,Oct,0.827
10,AM,mon,2,Jun,0.619
9,PM,,1,Nov,0.151
7,AM,tue,16,Dec,0.881
8,AM,,15,Oct,0.226
8,AM,sat,19,Apr,0.359
8,AM,fri,15,Aug,0.542
2,AM,,15,Nov,0.135
4,AM,sun,16,Mar,0.283
2,AM,,1,May,0.147
1,PM,,28,Sep,0.441
5,PM,fri,19,Sep,0.983
4,PM,,25,Mar,0.323
11,PM,tue,28,Jan,1.03
4,PM,,30,Aug,1.004
7,AM,,1,Aug,1.112
3,AM,,18,Jan,0.492
9,AM,mon,15,Dec,0.337
10,PM,tue,21,Jan,1.06
1,PM,,3,Jul,1.152
9,PM,,6,Mar,0.566
2,PM,,14,Nov,0.157
1,PM,sun,20,Apr,0.205
2,PM,,18,Apr,0.104
2,AM,,14,May,0.152
1,PM,sun,5,Jan,0.972
8,AM,sat,21,Jun,2.083
10,AM,wed,18,Jun,0.634
4,AM,sun,6,Jul,0.72
12,AM,,27,Dec,0.889
3,PM,,28,Apr,0.101
4,AM,,18,Dec,0.264
2,AM,fri,15,Aug,0.254
6,PM,,26,Jun,2.117
11,AM,tue,9,Sep,0.396
12,PM,thu,17,Jul,1.38
9,PM,sun,12,Jan,1.104
10,PM,,16,May,0.571
4,AM,fri,11,Jul,0.494
3,PM,,28,May,0.323
12,PM,,5,Feb,0.522
7,AM,,9,Apr,0.319
11,PM,mon,30,Jun,0.972
5,AM,,19,Oct,0.175
7,PM,sat,20,Dec,1.742
9,PM,,3,Jan,0.712
6,AM,wed,20,Aug,1.195
7,AM,tue,22,Apr,0.238
4,PM,fri,14,Feb,0.413
10,PM,,25,Jul,1.495
7,AM,fri,25,Apr,0.3
3,AM,,26,Dec,0.224
4,PM,,5,Jan,2.106
11,AM,tue,4,Nov,0.241
7,PM,thu,6,Nov,0.656
2,AM,,28,Jun,0.589
5,AM,wed,10,Dec,1.077
3,AM,mon,24,Mar,0.176
2,PM,,29,Sep,0.272
7,AM,sun,19,Jan,2.112
7,PM,,29,May,1.57
11,PM,,25,Aug,0.564
11,PM,sat,1,Mar,0.664
8,AM,thu,17,Jul,0.95
2,PM,thu,28,Aug,0.514
2,AM,sun,19,Oct,0.191
2,AM,,27,Sep,0.231
5,AM,,17,Apr,0.389
7,AM,sat,11,Jan,2.016
2,PM,sun,21,Sep,0.616
8,AM,wed,29,Jan,0.824
1,AM,thu,20,Mar,0.142
5,AM,,18,Jul,2.482
12,AM,sun,7,Dec,0.739
5,AM,sat,6,Dec,0.327
11,AM,sat,18,Jan,1.2
2,AM,sat,25,Jan,0.48
9,PM,,18,Aug,0.691
3,PM,,13,Mar,0.275
6,PM,,14,Jan,2.52
1,AM,mon,26,May,0.19
8,AM,sat,31,May,0.926
10,AM,sat,19,Jul,1.526
10,AM,tue,14,Oct,0.235
9,PM,sun,15,Jun,1.069
3,AM,wed,1,Oct,0.142
1,AM,,30,Aug,0.374
8,AM,,13,May,0.333
9,PM,,5,Aug,0.655
4,AM,tue,28,Jan,0.448
7,AM,sat,16,Aug,1.512
11,AM,,21,Mar,0.36
9,PM,fri,5,Dec,0.427
10,AM,mon,25,Aug,0.523
11,AM,fri,22,Aug,0.48
2,AM,tue,24,Jun,0.4
9,AM,,19,May,0.281
2,AM,,17,Dec,0.2
10,PM,sun,16,Mar,0.348
5,AM,,31,Oct,0.62
3,PM,tue,20,May,0.294
12,AM,sun,18,May,0.73
12,PM,thu,4,Sep,0.347
8,PM,tue,16,Sep,1.221
5,AM,sat,27,Sep,0.208
6,PM,sun,11,May,1.368
7,PM,sat,2,Aug,1.814
1,PM,,10,May,0.514
6,AM,fri,16,May,1.085
5,AM,,23,Apr,0.37
7,AM,,3,Nov,0.486
9,PM,,8,May,0.538
8,PM,fri,6,Jun,2.39
6,PM,,6,Sep,1.474
1,PM,thu,24,Jul,0.912
11,AM,,25,Dec,0.638
3,PM,mon,13,Oct,0.264
3,PM,,13,Jan,0.656
7,AM,,27,May,0.626
12,PM,wed,20,Aug,0.666
4,AM,,4,Sep,0.122
9,AM,,13,Mar,0.197
5,PM,thu,15,May,0.988
4,PM,,30,Sep,0.28
10,AM,,18,Oct,0.418
9,AM,sun,21,Sep,0.554
10,AM,,27,Sep,0.424
9,PM,,30,Sep,0.428
1,AM,,23,Feb,0.389
3,AM,fri,27,Jun,0.356
4,AM,,14,Oct,0.132
9,AM,,23,Jan,0.636
4,PM,tue,19,Aug,0.485
4,PM,,28,Dec,0.96
10,AM,wed,10,Dec,0.378
7,AM,,21,Jan,2.106
1,AM,,30,Jan,0.324
1,PM,wed,23,Apr,0.121
1,PM,tue,24,Jun,0.691
5,PM,wed,6,Aug,1.357
8,PM,sun,5,Oct,1.145
7,AM,,29,Dec,0.901
6,PM,sun,16,Nov,0.972
9,PM,,10,Jul,1.426
2,PM,mon,21,Jul,0.912
5,PM,,20,Aug,1.451
1,AM,sun,25,May,0.288
11,AM,thu,27,Feb,0.606
7,PM,wed,2,Jul,3.888
9,AM,,5,Mar,0.199
4,PM,,7,May,0.365
11,AM,,30,May,0.46
10,AM,fri,8,Aug,0.533
11,PM,mon,29,Dec,0.66
5,AM,mon,17,Feb,1.056
6,PM,fri,11,Apr,0.386
9,PM,,19,Sep,0.258
2,AM,,4,May,0.202
3,PM,wed,26,Feb,0.562
12,PM,wed,30,Apr,0.162
12,PM,thu,31,Jul,1.044
2,AM,,16,Oct,0.103
6,PM,,20,Mar,1.12
4,PM,fri,26,Sep,0.333
9,AM,mon,3,Nov,0.153
9,PM,,29,Apr,0.157
1,AM,tue,18,Nov,0.102
6,AM,fri,14,Mar,0.893
10,PM,tue,24,Jun,0.81
8,AM,thu,30,Oct,0.192
6,AM,,30,Jul,3.312
9,AM,,27,Sep,0.561
1,AM,,17,Nov,0.08
4,AM,,9,Mar,0.286
4,PM,,28,May,0.282
1,AM,,27,Aug,0.238
4,AM,,23,Feb,0.353
4,PM,thu,20,Mar,0.269
3,PM,,20,Jun,0.778
2,PM,wed,18,Jun,0.749
3,AM,sun,27,Apr,0.101
4,AM,wed,5,Nov,0.102
5,PM,,22,Jan,2.288
2,PM,,21,Aug,0.523
6,AM,tue,23,Dec,1.056
2,PM,sat,11,Jan,1.44
4,PM,thu,20,Nov,0.203
10,PM,sat,29,Nov,0.187
2,PM,tue,20,May,0.381
3,PM,,16,Feb,1.21
5,AM,,1,Sep,0.747
3,PM,sun,23,Feb,0.896
7,AM,mon,27,Oct,0.481
11,AM,tue,15,Apr,0.162
9,PM,tue,17,Jun,1.026
11,AM,,2,Jun,0.918
10,AM,,24,Dec,0.488
6,AM,mon,29,Sep,0.739
12,AM,fri,7,Nov,0.112
6,AM,,21,Oct,0.626
5,AM,sun,18,May,0.278
2,AM,tue,23,Dec,0.205
6,PM,,4,Aug,1.596
7,PM,,11,Sep,1.008
8,AM,,2,Jan,0.712
5,AM,sat,19,Jul,0.598
5,AM,,19,Jan,0.522
9,AM,thu,9,Oct,0.212
1,AM,thu,16,Oct,0.132
6,AM,mon,3,Nov,0.513
1,AM,,8,Jan,0.34
2,AM,thu,27,Feb,0.266
4,PM,thu,9,Oct,0.194
3,AM,,20,Mar,0.192
8,PM,sat,28,Jun,3.305
6,AM,,2,Aug,0.97
5,PM,mon,30,Jun,2.246
9,AM,tue,21,Oct,0.216
1,PM,,22,Sep,0.269
10,AM,wed,14,May,0.362
1,AM,thu,1,May,0.13
3,AM,fri,14,Feb,0.247
10,AM,,20,May,0.336
7,PM,mon,17,Feb,1.879
5,AM,sun,30,Mar,0.242
7,PM,mon,28,Jul,5.011
7,PM,,23,Mar,1.224
8,AM,,6,Dec,1.258
3,AM,,30,Jul,0.542
1,AM,,19,Apr,0.1
4,PM,,22,Mar,0.59
5,AM,,20,Jul,0.619
10,AM,,21,May,0.266
4,PM,tue,18,Mar,0.259
12,PM,,30,Oct,0.291
10,PM,thu,17,Apr,0.137
4,PM,thu,23,Jan,0.768
3,AM,sat,11,Jan,0.612
4,AM,wed,19,Feb,0.266
7,PM,fri,28,Mar,1.512
6,AM,,4,Dec,1.478
4,PM,sun,14,Dec,1.01
1,PM,,3,Nov,0.207
1,PM,tue,25,Feb,0.48
5,PM,,25,Dec,1.401
1,AM,sun,16,Feb,0.414
11,AM,mon,13,Oct,0.297
11,PM,mon,15,Sep,0.333
5,PM,wed,13,Aug,1.31
8,PM,,15,Jun,3.337
10,PM,,3,Nov,0.254
2,AM,,27,Jan,0.4
2,AM,,31,May,0.252
1,AM,tue,22,Apr,0.064
6,AM,tue,13,May,0.883
8,PM,fri,10,Jan,3.392
4,AM,mon,17,Feb,0.262
7,PM,,22,Dec,1.742
4,PM,,1,May,0.32
1,AM,,1,Sep,0.134
4,AM,sun,13,Jul,0.626
8,PM,fri,31,Oct,1.133
9,PM,,23,Oct,0.292
7,AM,,18,Oct,0.814
12,AM,,18,Jul,0.77
1,PM,mon,4,Aug,0.523
10,AM,,11,Feb,0.533
2,AM,,10,Feb,0.238
12,PM,tue,17,Jun,0.801
5,PM,sat,22,Feb,0.918
7,AM,fri,9,May,0.605
3,PM,tue,18,Feb,0.456
12,PM,,3,Jun,0.828
10,PM,wed,2,Apr,0.12
10,PM,tue,18,Feb,0.6
3,AM,wed,24,Dec,0.205
3,PM,sun,23,Mar,0.727
4,PM,thu,2,Jan,0.712
11,AM,fri,26,Dec,0.462
9,AM,fri,25,Jul,0.857
1,AM,sat,12,Jul,0.864
6,PM,,2,Aug,2.009
12,AM,fri,11,Jul,0.684
10,AM,fri,18,Jul,0.97
3,AM,sun,11,May,0.262
3,AM,sun,23,Feb,0.349
10,PM,,1,Aug,0.764
11,AM,,2,May,0.42
9,AM,,16,Jun,0.513
10,AM,sat,19,Apr,0.169
11,PM,mon,10,Feb,0.666
10,PM,,15,Oct,0.252
5,PM,,7,Oct,0.78
4,PM,,16,Dec,0.361
10,AM,sun,29,Jun,0.918
10,PM,wed,5,Nov,0.216
12,PM,,18,Oct,0.385
8,AM,,25,Nov,0.189
4,PM,thu,6,Feb,0.494
9,PM,thu,30,Jan,1.2
5,AM,,5,May,0.933
9,AM,,15,Nov,0.458
2,PM,sat,31,May,0.595
4,AM,fri,22,Aug,0.211
10,PM,sat,1,Mar,0.294
10,AM,fri,29,Aug,0.557
1,AM,sat,7,Jun,0.475
10,PM,mon,27,Oct,0.309
7,AM,,10,Nov,0.478
12,PM,,23,Jul,1.128
11,AM,,17,Sep,0.406
12,PM,,18,Aug,0.618
7,PM,,27,Nov,0.753
4,PM,,2,Nov,0.352
7,PM,,1,Mar,1.584
5,PM,sat,1,Nov,0.409
5,PM,,23,Oct,0.655
9,PM,,16,Jul,1.238
9,AM,,3,Jan,0.558
1,PM,,12,Sep,0.288
1,PM,wed,29,Jan,0.664
3,PM,fri,19,Sep,0.269
7,PM,,29,Jun,3.532
10,PM,tue,7,Jan,1.09
12,PM,sun,2,Mar,0.422
10,PM,,13,Jan,0.99
6,PM,,20,Feb,1.898
5,AM,,8,Jul,2.798
3,AM,,3,Nov,0.108
5,AM,,18,Nov,0.416
4,PM,,13,Oct,0.233
12,PM,fri,3,Jan,1.16
3,PM,fri,11,Jul,0.768
5,AM,sun,26,Oct,0.162
10,AM,tue,2,Dec,0.418
12,AM,fri,10,Jan,0.72
5,AM,,26,Feb,1.307
12,AM,fri,25,Jul,0.662
3,AM,fri,17,Oct,0.142
6,AM,,10,Aug,1.123
9,PM,,17,Dec,0.686
1,PM,,17,Mar,0.272
1,AM,,27,Nov,0.1
10,PM,,24,Feb,0.522
4,AM,thu,29,May,0.178
8,AM,,2,Sep,0.238
1,AM,fri,10,Oct,0.128
9,AM,sun,6,Apr,0.3
7,PM,wed,25,Jun,2.689
4,AM,fri,6,Jun,0.346
10,PM,thu,16,Jan,0.86
12,PM,fri,24,Oct,0.309
12,PM,sun,10,Aug,0.583
4,AM,thu,20,Mar,0.138
10,PM,,11,Feb,0.606
10,PM,,11,Aug,0.504
1,PM,tue,2,Dec,0.484
9,PM,,1,Mar,0.294
2,PM,tue,14,Oct,0.257
7,PM,,7,Apr,0.486
12,AM,,21,May,0.211
11,AM,mon,26,May,0.408
7,PM,,26,Feb,2.009
2,PM,,1,Sep,0.291
12,PM,,23,Jan,0.95
9,AM,wed,12,Feb,0.392
1,PM,wed,2,Apr,0.137
6,AM,wed,3,Sep,0.79
2,AM,mon,3,Nov,0.095
11,AM,,21,May,0.468
9,AM,,26,Jan,1.656
6,AM,tue,25,Nov,0.605
5,AM,sun,28,Dec,0.32
3,PM,fri,17,Jan,0.64
11,PM,,12,Dec,1.232
2,AM,,24,Feb,0.226
10,PM,wed,12,Feb,0.48
11,AM,,21,Nov,0.18
9,PM,,27,Mar,0.518
2,AM,sun,22,Jun,0.643
9,AM,wed,19,Feb,0.396
9,AM,,27,Jul,1.836
11,AM,tue,1,Apr,0.134
2,AM,,31,Oct,0.109
12,PM,wed,24,Sep,0.413
11,PM,fri,3,Jan,2.02
7,PM,,23,Dec,1.98
4,PM,,22,Jan,0.896
6,AM,,27,Jun,2.138
3,AM,,19,Feb,0.245
10,PM,tue,19,Aug,0.69
8,AM,,26,Mar,0.339
8,PM,,8,Dec,1.566
3,AM,fri,16,May,0.16
1,PM,,3,Jan,0.88
6,AM,tue,6,May,0.922
4,AM,,9,Jan,0.424
9,AM,mon,10,Nov,0.132
12,AM,tue,11,Feb,0.338
10,AM,,5,Oct,0.36
6,PM,sun,16,Mar,1.642
6,AM,mon,12,May,1.152
12,PM,wed,6,Aug,0.498
7,PM,sun,14,Dec,2.039
12,AM,mon,17,Mar,0.214
3,AM,fri,6,Jun,0.338
6,AM,,20,Mar,1.142
8,AM,,3,May,0.988
8,PM,wed,23,Apr,0.403
9,PM,,11,Apr,0.097
4,PM,thu,17,Apr,0.12
9,PM,thu,2,Jan,1.368
5,PM,wed,30,Apr,0.374
8,PM,tue,12,Aug,1.882
4,PM,mon,27,Oct,0.262
8,AM,,19,Feb,0.528
9,AM,tue,21,Jan,0.576
2,AM,sat,11,Jan,0.48
7,AM,tue,8,Apr,0.278
2,AM,thu,27,Mar,0.171
4,PM,,5,Jun,0.67
7,AM,,7,Sep,0.907
9,AM,,19,Jan,2.142
10,AM,tue,15,Jul,1.008
11,AM,mon,24,Feb,0.552
11,PM,,10,Sep,0.322
4,PM,wed,12,Mar,0.272
11,PM,,4,Mar,0.432
7,AM,wed,10,Dec,0.901
9,PM,sat,13,Dec,0.488
8,PM,tue,5,Aug,1.882
8,PM,thu,14,Aug,1.824
8,AM,sat,1,Mar,0.957
12,PM,,22,Nov,0.297
9,AM,fri,27,Jun,0.491
10,PM,,12,Oct,0.339
5,AM,,29,Sep,0.678
3,AM,,14,Jun,0.643
6,PM,,21,Jun,3.532
8,AM,,8,Feb,1.763
7,PM,,4,Jun,2.657
8,PM,wed,26,Mar,1.05
3,PM,,29,Oct,0.211
11,PM,,7,May,0.376
12,PM,sat,28,Jun,1.048
2,PM,,26,Jan,1.424
4,AM,,3,Apr,0.071
1,PM,tue,25,Nov,0.16
11,AM,thu,25,Sep,0.389
2,AM,tue,18,Feb,0.264
11,AM,,15,Sep,0.396
1,PM,,9,Oct,0.274
9,AM,,19,Sep,0.208
5,PM,,27,Dec,1.178
3,AM,,2,Dec,0.227
10,PM,wed,6,Aug,0.63
8,AM,wed,12,Feb,0.47
5,AM,sun,9,Feb,0.36
6,AM,,31,Aug,0.95
5,AM,tue,14,Jan,2.112
12,PM,,9,Dec,0.66
10,PM,,13,Mar,0.344
10,PM,sun,23,Mar,0.44
6,PM,thu,14,Aug,1.798
9,AM,,28,Jan,0.534
8,AM,,21,Sep,0.956
4,AM,,3,Jul,0.552
4,AM,,27,May,0.149
5,PM,sun,30,Mar,0.742
3,AM,,22,Sep,0.157
12,PM,,14,Dec,0.653
2,PM,fri,3,Oct,0.257
7,AM,,3,Aug,1.714
2,PM,wed,30,Apr,0.11
1,PM,,14,Nov,0.193
5,AM,,21,Oct,0.541
8,AM,,28,Apr,0.1
11,PM,fri,12,Sep,0.784
